orcid,faculties,note
no_orcid_1245,jura,hand-classified from publications
no_orcid_1718,phil,hand-classified from publications
no_orcid_1736,phil,hand-classified from publications
no_orcid_1997,phil,hand-classified from publications
no_orcid_2931,med,hand-classified from publications
no_orcid_3689,phil,hand-classified from publications
no_orcid_3738,phil,hand-classified from publications
no_orcid_4584,phil,hand-classified from publications
no_orcid_4986,phil,hand-classified from publications
no_orcid_535,phil,hand-classified from publications
no_orcid_5589,jura,hand-classified from publications
no_orcid_5631,phil,hand-classified from publications
no_orcid_5632,phil,hand-classified from publications
no_orcid_5693,sowi,hand-classified from publications
no_orcid_6070,phil,hand-classified from publications
no_orcid_6207,phil,hand-classified from publications
no_orcid_6808,phil,hand-classified from publications
no_orcid_6850,phil,hand-classified from publications
no_orcid_6854,phil,hand-classified from publications
no_orcid_6860,phil,hand-classified from publications
no_orcid_7415,phil,hand-classified from publications
no_orcid_875,sowi,hand-classified from publications
no_orcid_8891,sowi,hand-classified from publications
no_orcid_8901,phil,hand-classified from publications
no_orcid_894,sowi,hand-classified from publications
no_orcid_9623,rewi,hand-classified from publications
0000-0001-5039-3779,sowi,hand-classified from publications
0000-0001-5228-8980,sowi,hand-classified from publications
0000-0001-5306-8875,sowi,hand-classified from publications
0000-0001-5675-9866,sowi,hand-classified from publications
0000-0001-5822-4486,sowi,hand-classified from publications
0000-0001-6272-8900,sowi,hand-classified from publications
0000-0001-6420-3198,mint,hand-classified from publications
0000-0001-6517-1503,sowi,hand-classified from publications
0000-0001-6541-7374,sowi,hand-classified from publications
0000-0001-6638-0147,sowi,hand-classified from publications
0000-0001-6708-2520,jura,hand-classified from publications
0000-0001-6892-4013,sowi,hand-classified from publications
0000-0001-7191-0739,sowi,hand-classified from publications
0000-0001-7553-3838,sowi,hand-classified from publications
0000-0001-7669-5345,sowi,hand-classified from publications
0000-0001-7935-9785,phil,hand-classified from publications
0000-0001-8244-9984,sowi,hand-classified from publications
0000-0001-8310-6975,sowi,hand-classified from publications
0000-0001-8448-5663,sowi,hand-classified from publications
0000-0001-8704-4206,sowi,hand-classified from publications
0000-0001-8756-8181,sowi,hand-classified from publications
0000-0001-9374-1438,sowi,hand-classified from publications
0000-0001-9489-2385,sowi,hand-classified from publications
0000-0001-9566-3699,sowi,hand-classified from publications
0000-0001-9572-2185,sowi,hand-classified from publications
0000-0001-9616-5042,sowi,hand-classified from publications
0000-0001-9695-4527,sowi,hand-classified from publications
0000-0001-9831-5876,sowi,hand-classified from publications
0000-0001-9841-6386,med,hand-classified from publications
0000-0002-0026-8133,sowi,hand-classified from publications
0000-0002-0430-8331,sowi,hand-classified from publications
0000-0002-0470-9047,sowi,hand-classified from publications
0000-0002-0625-9270,sowi,hand-classified from publications
0000-0002-0756-260X,sowi,hand-classified from publications
0000-0002-0891-2501,sowi,hand-classified from publications
0000-0002-1013-1499,phil,hand-classified from publications
0000-0002-1099-2352,sowi,hand-classified from publications
0000-0002-1392-1816,mint,hand-classified from publications
0000-0002-1399-7677,sowi,hand-classified from publications
0000-0002-1596-2267,sowi,hand-classified from publications
0000-0002-1678-6904,sowi,hand-classified from publications
0000-0002-1739-446X,sowi,hand-classified from publications
0000-0002-1802-5586,sowi,hand-classified from publications
0000-0002-2456-8683,sowi,hand-classified from publications
0000-0002-2552-7795,sowi,hand-classified from publications
0000-0002-2967-1508,sowi,hand-classified from publications
0000-0002-3292-5652,sowi,hand-classified from publications
0000-0002-3536-7131,sowi,hand-classified from publications
0000-0002-3799-469X,sowi,hand-classified from publications
0000-0002-3893-9633,sowi,hand-classified from publications
0000-0002-4159-6635,sowi,hand-classified from publications
0000-0002-4203-8483,jura,hand-classified from publications
0000-0002-4298-4605,med,hand-classified from publications
0000-0002-5128-722X,sowi,hand-classified from publications
0000-0002-5279-7758,sowi,hand-classified from publications
0000-0002-5429-5292,med,hand-classified from publications
0000-0002-5677-1096,sowi,hand-classified from publications
0000-0002-5911-805X,tech,hand-classified from publications
0000-0002-6103-4760,med,hand-classified from publications
0000-0002-6219-2795,sowi,hand-classified from publications
0000-0002-6325-2040,sowi,hand-classified from publications
0000-0002-6480-7984,sowi,hand-classified from publications
0000-0002-6551-6716,sowi,hand-classified from publications
0000-0002-6815-9806,mint,hand-classified from publications
0000-0002-7410-2590,mint,hand-classified from publications
0000-0002-7603-3824,sowi,hand-classified from publications
0000-0002-7846-8629,sowi,hand-classified from publications
0000-0002-7960-0791,sowi,hand-classified from publications
0000-0002-8079-1898,sowi,hand-classified from publications
0000-0002-8223-047X,sowi,hand-classified from publications
0000-0002-8436-2548,sowi,hand-classified from publications
0000-0002-8451-3043,sowi,hand-classified from publications
0000-0002-8759-6390,sowi,hand-classified from publications
0000-0002-8904-6851,sowi,hand-classified from publications
0000-0002-8925-3631,sowi,hand-classified from publications
0000-0002-9014-1231,sowi,hand-classified from publications
0000-0002-9035-8369,sowi,hand-classified from publications
0000-0002-9037-0317,sowi,hand-classified from publications
0000-0002-9157-1110,sowi,hand-classified from publications
0000-0002-9208-4322,sowi,hand-classified from publications
0000-0002-9467-3470,sowi,hand-classified from publications
0000-0002-9885-3321,sowi,hand-classified from publications
0000-0003-0025-6674,mint,hand-classified from publications
0000-0003-0494-4634,sowi,hand-classified from publications
0000-0003-0689-858X,sowi,hand-classified from publications
0000-0003-0876-3769,sowi,hand-classified from publications
0000-0003-1371-4945,sowi,hand-classified from publications
0000-0003-1372-0683,sowi,hand-classified from publications
0000-0003-2139-8575,mint,hand-classified from publications
0000-0003-2185-4251,sowi,hand-classified from publications
0000-0003-2255-9406,sowi,hand-classified from publications
0000-0003-3231-3741,sowi,hand-classified from publications
0000-0003-3307-7760,sowi,hand-classified from publications
0000-0003-3687-7691,sowi,hand-classified from publications
0000-0003-4087-2789,sowi,hand-classified from publications
0000-0003-4093-6471,sowi,hand-classified from publications
0009-0000-4473-5031,jura,hand-classified from publications
0009-0001-7437-7156,jura,hand-classified from publications
0009-0005-7359-2304,sowi,hand-classified from publications
0009-0006-7018-9808,sowi,hand-classified from publications
0009-0008-4207-3060,sowi,hand-classified from publications
0009-0008-5385-8963,sowi,hand-classified from publications
no_orcid_10399,sowi,hand-classified from publications
no_orcid_10488,sowi,hand-classified from publications
no_orcid_1073,jura,hand-classified from publications
no_orcid_10736,sowi,hand-classified from publications
no_orcid_10751,sowi,hand-classified from publications
no_orcid_1209,sowi,hand-classified from publications
no_orcid_1210,sowi,hand-classified from publications
no_orcid_1223,sowi,hand-classified from publications
no_orcid_1240,sowi,hand-classified from publications
no_orcid_1302,mint,hand-classified from publications
no_orcid_1408,sowi,hand-classified from publications
no_orcid_1462,sowi,hand-classified from publications
no_orcid_1759,sowi,hand-classified from publications
no_orcid_195,mint,hand-classified from publications
no_orcid_1977,sowi,hand-classified from publications
no_orcid_2006,sowi,hand-classified from publications
no_orcid_2012,sowi,hand-classified from publications
no_orcid_2081,mint,hand-classified from publications
no_orcid_237,sowi,hand-classified from publications
no_orcid_2391,jura,hand-classified from publications
no_orcid_2522,sowi,hand-classified from publications
no_orcid_2651,sowi,hand-classified from publications
no_orcid_2665,sowi,hand-classified from publications
no_orcid_2694,tech,hand-classified from publications
no_orcid_2810,jura,hand-classified from publications
no_orcid_2842,sowi,hand-classified from publications
no_orcid_2893,jura,hand-classified from publications
no_orcid_2939,sowi,hand-classified from publications
no_orcid_2940,sowi,hand-classified from publications
no_orcid_2970,agrar,hand-classified from publications
no_orcid_3217,sowi,hand-classified from publications
no_orcid_3359,mint,hand-classified from publications
no_orcid_341,sowi,hand-classified from publications
no_orcid_349,sowi,hand-classified from publications
no_orcid_3571,sowi,hand-classified from publications
no_orcid_3641,sowi,hand-classified from publications
no_orcid_3642,sowi,hand-classified from publications
no_orcid_3928,sowi,hand-classified from publications
no_orcid_3940,mint,hand-classified from publications
no_orcid_4088,sowi,hand-classified from publications
no_orcid_4299,phil,hand-classified from publications
no_orcid_4331,sowi,hand-classified from publications
no_orcid_4381,med,hand-classified from publications
no_orcid_4853,sowi,hand-classified from publications
no_orcid_4994,sowi,hand-classified from publications
no_orcid_5022,sowi,hand-classified from publications
no_orcid_5075,sowi,hand-classified from publications
no_orcid_512,sowi,hand-classified from publications
no_orcid_513,med,hand-classified from publications
no_orcid_5390,med,hand-classified from publications
no_orcid_5493,sowi,hand-classified from publications
no_orcid_555,jura,hand-classified from publications
no_orcid_5653,sowi,hand-classified from publications
no_orcid_5932,sowi,hand-classified from publications
no_orcid_6088,sowi,hand-classified from publications
no_orcid_6090,sowi,hand-classified from publications
no_orcid_6181,sowi,hand-classified from publications
no_orcid_6656,sowi,hand-classified from publications
no_orcid_669,sowi,hand-classified from publications
no_orcid_6864,sowi,hand-classified from publications
no_orcid_7121,sowi,hand-classified from publications
no_orcid_7267,sowi,hand-classified from publications
no_orcid_7343,sowi,hand-classified from publications
no_orcid_7892,mint,hand-classified from publications
no_orcid_7980,sowi,hand-classified from publications
no_orcid_7983,sowi,hand-classified from publications
no_orcid_8359,sowi,hand-classified from publications
no_orcid_8425,sowi,hand-classified from publications
no_orcid_8581,sowi,hand-classified from publications
no_orcid_8595,sowi,hand-classified from publications
no_orcid_9188,mint,hand-classified from publications
no_orcid_9434,sowi,hand-classified from publications
no_orcid_950,mint,hand-classified from publications
0000-0001-8513-059X,sowi,hand-classified from publications
0000-0002-0818-2684,tech,hand-classified from publications
0000-0002-2657-5043,tech,hand-classified from publications
0000-0002-3556-0660,sowi,hand-classified from publications
0000-0002-9638-8753,tech,hand-classified from publications
0000-0003-0475-1023,tech,hand-classified from publications
0000-0003-2182-5354,tech,hand-classified from publications
0000-0003-3545-4822,mint,hand-classified from publications
0009-0002-2426-5663,tech,hand-classified from publications
no_orcid_10830,tech,hand-classified from publications
no_orcid_3257,tech,hand-classified from publications
no_orcid_4015,sowi,hand-classified from publications
no_orcid_4134,tech,hand-classified from publications
no_orcid_4557,mint,hand-classified from publications
no_orcid_5561,mint,hand-classified from publications
no_orcid_6858,sowi,hand-classified from publications
0009-0008-3838-5678,phil,hand-reclassified from publications (concordance backfill correction)
0000-0002-1133-1759,agrar,hand-reclassified from publications (concordance backfill correction)
0000-0002-3901-3496,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-0237-8106,sowi,hand-reclassified from publications (concordance backfill correction)
0009-0003-2629-7666,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_2015,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_7447,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_8525,mint,hand-reclassified from publications (concordance backfill correction)
0000-0001-8910-2887,phil,hand-reclassified from publications (concordance backfill correction)
0000-0002-2824-7641,phil,hand-reclassified from publications (concordance backfill correction)
no_orcid_7746,jura,hand-reclassified from publications (concordance backfill correction)
0000-0001-5053-3700,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-2035-7715,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-2044-742X,sowi,hand-reclassified from publications (concordance backfill correction)
